CODE REFERENCE PHOTO,PHOTO,VILLE,CODE POSTAL,ADRESSE ,COORDONNEES GPS DU PANNEAU Y ,COORDONNEES GPS DU PANNEAU X,ANGLE DE VISIBILITE,VISIBLE EN VENANT DE,VISIBLE EN ALLANT A ,VISIBILITE,DISPONIBILITE,FORMAT,SURFACE,TYPE,SUPPORT,LARGEUR EN CM,HAUTEUR EN CM,DATE DE SIGNATURE DU BON DE COMMANDE CLIENT  ,DATE DE FIN DENGAGEMENT  DU BON DE COMMANDE  ,ANNONCEUR
ARMURERIE PBG 62 20220817_122531,#VALEUR !,ST LAURENT BLANGY,62223,AVENUE DES DROITS DE L'HOMME DE MONNET VERS ARTOIS EXPO,"50,29449","2,78995",90°,ARRAS MONNET,ST LAURENT ARTOIS EXPO,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,28/03/2018,11/04/2025,MARKET ARRAS
ARMURERIE PBG 62 20220817_122531,#VALEUR !,ST LAURENT BLANGY,62223,AVENUE DES DROITS DE L'HOMME DE MONNET VERS ARTOIS EXPO,"50,29432","2,78989",90°,ARRAS MONNET,ST LAURENT ARTOIS EXPO,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,05/09/2019,31/12/2024,OPTICAL CENTER 
ARMURERIE PBG 62 20220817_122531,#VALEUR !,ST LAURENT BLANGY,62223,AVENUE DES DROITS DE L'HOMME DE MONNET VERS ARTOIS EXPO,"50,29432","2,78989",90°,ARRAS MONNET,ST LAURENT ARTOIS EXPO,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,22/03/2017,24/04/2025,SIO
ARMURERIE PBG 62 20220817_122531,#VALEUR !,ST LAURENT BLANGY,62223,AVENUE DES DROITS DE L'HOMME DE MONNET VERS ARTOIS EXPO,"50,29432","2,78989",90°,ARRAS MONNET,ST LAURENT ARTOIS EXPO,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,04/08/2022,16/08/2024,EVASION DEVELOPPEMENT
373,,ST LAURENT BLANGY,62223,ROND POINT DE LA LOCOMOTIVE FACE VERSO ,"50,29278","2,79323",90°,ZI EST,ST LAURENT ARTOIS EXPO,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,"08,11,2016","22,11,2025",FUNNY PARC
372,,ST LAURENT BLANGY,62223,ROND POINT DE LA LOCOMOTIVE FACE VERSO ,"50,29278","2,79323",90°,ZI EST,ST LAURENT ARTOIS EXPO,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,21/11/2023,31/12/2026,LECLERC ARRADIS
369,,ST LAURENT BLANGY,62223,ROND POINT DE LA LOCOMOTIVE FACE VERSO ,"50,29278","2,79323",90°,ZI EST,ST LAURENT ARTOIS EXPO,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,28/03/2018,11/04/2025,MARKET ARRAS
16A,#VALEUR !,ST LAURENT BLANGY,62223,RUE LAURENT GERS FACE MAIRIE,"50,29883","2,80223",90°,ST LAURENT CENTRE,ST LAURENT BASE NAUTIQUE,DROITE,D,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,,,DISPONIBLE
16A,#VALEUR !,ST LAURENT BLANGY,62223,RUE LAURENT GERS FACE MAIRIE,"50,29883","2,80223",90°,ST LAURENT CENTRE,ST LAURENT BASE NAUTIQUE,DROITE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,22/11/2016,08/12/2025,CARROSSERIE MANTEL
16A,#VALEUR !,ST LAURENT BLANGY,62223,RUE LAURENT GERS FACE MAIRIE,"50,29883","2,80223",90°,ST LAURENT CENTRE,ST LAURENT BASE NAUTIQUE,DROITE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,28/03/2018,11/04/2025,MARKET ARRAS
